firm_id,ticker,company_name,exchange_id,industry_l2_id,founded_year,listed_year,status,created_at,updated_at
16,SBT,"Mía đường Thành Thành Công - Biên Hòa",1,2,1995,2008,active,"2026-01-20 04:33:45","2026-03-05 03:51:48"
53,PAN,"Tập đoàn PAN",1,2,1998,2010,active,"2026-01-20 04:33:45","2026-03-05 03:51:48"
73,ASM,"Tập đoàn Sao Mai",1,2,1988,2010,active,"2026-01-20 04:33:45","2026-03-05 03:51:48"
96,HHC,"Bánh kẹo Hải Hà",2,2,1960,2007,active,"2026-01-20 04:33:45","2026-03-05 03:51:48"
101,IDI,"Đầu tư và PT Đa Quốc Gia I.D.I",1,2,2003,2011,active,"2026-01-20 04:33:45","2026-03-05 03:51:48"
118,BCF,"Thực phẩm Bích Chi",2,2,1996,2020,active,"2026-01-20 04:33:45","2026-03-05 03:51:48"
130,NSC,"Tập đoàn Giống cây trồng Việt Nam",1,2,1968,2006,active,"2026-01-20 04:33:45","2026-03-05 03:51:48"
135,OCH,"Khách sạn và Dịch vụ OCH",2,2,2006,2010,active,"2026-01-20 04:33:45","2026-03-05 03:51:48"
145,TFC,"CTCP Trang",2,2,2004,2015,active,"2026-01-20 04:33:45","2026-03-05 03:51:48"
172,LSS,"Mía đường Lam Sơn",1,2,1980,2007,active,"2026-01-20 04:33:45","2026-03-05 03:51:48"
